gross_profit,category,volume,volume_range,package,flavor,price,StorePerOrder,AmountPerOrder,Sale_Store,initial_days,
54.71999156,Biscuit,55g,0-149g/ml,Box,Milk,7.5,4.7068,0.632698977,227,469,
-15.269478,Biscuit,100g,100-299g/ml,Bag,Milk,8,180.1802,37.5,2,979,
-30.02163884,Biscuit,180g,150-199g/ml,Bag,Cheese,7.9,34.9585,7.026257106,94,441,
-96.98253756,Biscuit,150g,100-299g/ml,Bag,Original,8.9,119.7605,6.282722513,2,1044,
-4.109530191,Biscuit,168g,150-199g/ml,Box,Original,9.9,18.9278,2.482526616,102,549,
-54.186464,Pastry,200g,150-299g/ml,Box,Matcha,9.9,107.9137,8.185538881,3,651,
5.058670783,Pastry,100g,100-299g/ml,Bag,Milk,9.9,25.7156,2.395918189,23,555,
-74.01517089,Biscuit,100g,100-299g/ml,Bag,Original,9.9,179.6407,6.451612903,3,632,
0,Cookies,100g,0-149g/ml,Box,Strawberry,9.9,0,0,0,1430,
-17.17763,Wafer,120g,0-149g/ml,Box,Cheese,9.9,178.5714,18,1,644,
-28.647656,Biscuit,156g,150-199g/ml,Box,Cheese,9.9,178.5714,11.25,1,644,
70.65947542,Cookies,90g,0-149g/ml,Box,Chocolate,11.5,7.8199,0.67303386,220,2719,
63.43595756,Biscuit,100g,100-299g/ml,Box,Matcha,11.8,11.8427,1.056424824,10,198,
15.1541841,Pastry,310g,300g/ml+,Bag,Milk,11.9,10.9091,1.260360177,220,976,
5.091160174,Wafer,160g,150-199g/ml,Box,Chocolate,12.8,31.0494,2.868822447,74,490,
5.41917114,Wafer,160g,150-199g/ml,Box,Cheese,12.8,33.8963,2.982209577,58,490,
23.18755937,Wafer,180g,150-199g/ml,Can,Cheese,12.9,26.887,2.371117032,95,253,
-52.22708729,Wafer,123g,0-149g/ml,Box,Chocolate,12.9,14.2885,1.300128475,82,476,
55.23192237,Biscuit,120g,100-299g/ml,Box,Milk,12.9,7.1129,0.555776424,183,778,
-23.39288924,Wafer,234g,200g/ml+,Box,Cheese,12.8,38.5728,4.665198569,24,1268,
0,Biscuit,230g,200g/ml+,Bag,Mixed,13.5,0,0,0,2841,
81.29605319,Pastry,100g,100-299g/ml,Can,Milk,13.8,10.2298,0.772160598,47,198,
18.55828895,Wafer,110g,0-149g/ml,Bag,Cheese,13.8,34.1038,2.872111268,18,702,
-75.70986085,Biscuit,120g,100-299g/ml,Box,Chocolate,13.9,18.981,2.15214684,89,688,
-21.78365236,Cookies,255g,200g/ml+,Bag,Chocolate,14.5,12.3468,1.108052598,216,2841,
91.14061741,Biscuit,180g,150-199g/ml,Box,Cheese,14.8,9.9968,0.696545454,177,2232,
125.674084,Pastry,75g,0-149g/ml,Box,Mixed,14.9,6.5602,0.46132064,105,792,
-64.74785,Pastry,45g,0-99g/ml,Bag,Chocolate,14.9,154.2416,4.597701149,6,757,
-19.304442,Cookies,255g,200g/ml+,Box,Original,14.9,178.5714,45,1,2514,
15.37574027,Wafer,150g,150-199g/ml,Can,Strawberry,15.8,28.0798,2.151658253,117,1343,
0,Cookies,96g,0-149g/ml,Box,Mixed,15.9,0,0,0,972,
-112.625064,Wafer,150g,150-199g/ml,Bag,Chocolate,15.9,178.5714,2.34375,1,2654,
37.02696125,Biscuit,160g,100-299g/ml,Box,Strawberry,15.9,5.9236,0.394820813,186,1416,
-18.19466458,Pastry,128g,0-149g/ml,Bag,Original,18.9,22.7901,2.015836344,108,1169,
-41.27312186,Pastry,400g,300g/ml+,Box,Original,18.9,129.7614,7.980092672,31,289,
-15.01308333,Pastry,400g,300g/ml+,Box,Matcha,18.9,180.1802,13.51182284,6,264,
-190.0304333,Biscuit,200g,200g/ml+,Box,Vanilla,18.9,90.0901,2.835985505,3,617,
163.468847,Pastry,408g,300g/ml+,Box,Chocolate,19.5,1.3488,0.07531321,229,2841,
-18.14721814,Cookies,160g,150-199g/ml,Bag,Matcha,19.9,13.9369,0.889639075,71,469,
43.73414523,Pastry,220g,150-299g/ml,Box,Original,19.9,13.623,0.700944686,155,2841,
-36.54967585,Pastry,456g,300g/ml+,Bag,Original,19.9,32.4875,2.573039851,37,469,
-149.0112612,Pastry,96g,0-149g/ml,Bag,Chocolate,19.9,45.8115,2.868885119,14,554,
59.39622476,Cookies,340g,200g/ml+,Box,Chocolate,20.8,5.0186,0.254787518,225,162,
16.29249625,Biscuit,216g,200g/ml+,Bag,Original,20.9,28.494,1.482232967,41,532,
-38.88907491,Wafer,648g,200g/ml+,Box,Cheese,28.8,73.3333,5.436274779,11,1507,
-24.42804157,Wafer,350g,200g/ml+,Can,Chocolate,29.8,60,4.196456326,6,441,
28.2202356,Wafer,350g,200g/ml+,Box,Chocolate,29.9,28.6316,1.084888246,136,1410,
37.82719513,Wafer,480g,200g/ml+,Box,Chocolate,31.5,6.5921,0.224300903,226,2841,
0,Pastry,650g,200g/ml+,Bag,Mixed,32,0,0,0,2841,
65.92226464,Wafer,250g,200g/ml+,Bag,Chocolate,39.9,12.4298,0.336330318,27,532,
11.76231522,Biscuit,792g,300g/ml+,Box,Original,44.5,69.8886,1.037710554,106,1528,
-277.157549,Pastry,980g,300g/ml+,Box,Milk,68,180.1802,3.214285714,2,444,
42.37990509,Cookies,908g,200g/ml+,Box,Original,135,58.092,0.460938359,71,2841,
61.25482977,Biscuit,115g,100-299g/ml,Bag,Original,3.5,2.9063,0.666913439,228,2841,
10.7268544,Biscuit,47g,0-99g/ml,Box,Chocolate,5.5,6.5625,1.054851441,210,2038,
40.17843632,Biscuit,80g,0-99g/ml,Bag,Strawberry,5.5,5.6552,1.011710272,158,2841,
5.307954217,Biscuit,116g,100-299g/ml,Bag,Coconut,6.5,11.3011,1.910506578,83,266,
54.12984331,Biscuit,168g,150-199g/ml,Bag,Original,6.5,4.3495,0.645708604,224,2841,
40.86270586,Wafer,145g,0-149g/ml,Box,Milk,6.9,6.5621,0.996810811,151,1238,
21.38611078,Biscuit,25g,0-99g/ml,Can,Milk,3,4.2097,1.111450876,62,800,
0.826852,Pastry,100g,0-149g/ml,Bag,Cheese,3.9,178.5714,46.15384615,1,1178,
0,Biscuit,115g,100-299g/ml,Bag,Original,6,0,0,0,2841,
47.23973392,Biscuit,168g,150-199g/ml,Bag,Original,6.5,4.7212,0.708149798,223,2841,
1.710088889,Biscuit,48g,0-99g/ml,Box,Strawberry,6.8,83.5476,12.15710723,13,1000,
215.0916964,Biscuit,116g,0-149g/ml,Bag,Original,6.9,1.2762,0.156053299,230,1379,
50.92219184,Biscuit,100g,100-299g/ml,Box,Cheese,6.9,8.0748,1.178229494,24,198,
-55.30456099,Wafer,80g,0-149g/ml,Box,Strawberry,6.9,25.9259,5.152531283,35,486,
156.2249297,Biscuit,116g,0-149g/ml,Bag,Chocolate,6.9,1.5029,0.184925644,228,1379,
3.288505,Biscuit,60g,0-99g/ml,Box,Chocolate,7.2,178.5714,25,1,2841,
75.92851037,Biscuit,55g,0-149g/ml,Box,Chocolate,7.5,4.0624,0.532844098,230,469,
159.9761313,Biscuit,48g,0-99g/ml,Box,Milk,7.8,2.368,0.279772967,229,2841,
93.18768948,Biscuit,48g,0-99g/ml,Box,Chocolate,7.8,3.6948,0.455177384,230,2841,
16.59847479,Biscuit,40g,0-99g/ml,Can,Chocolate,8,22.598,3.189989154,29,617,
-58.49232149,Wafer,50g,0-149g/ml,Box,Chocolate,8,63.0063,5.16721688,14,486,
-5.53366,Pastry,160g,100-299g/ml,Box,Original,8.5,178.5714,180,1,2841,
69.22912959,Biscuit,48g,0-99g/ml,Box,Matcha,8.5,5.2515,0.61001355,87,2841,
-4.801752727,Biscuit,60g,0-99g/ml,Box,Chocolate,8.5,27.6921,3.950684878,44,1149,
38.30520518,Biscuit,250g,100-299g/ml,Bag,Original,8.9,11.1796,1.254712494,119,611,
42.9873712,Biscuit,105g,100-299g/ml,Box,Coconut,11.5,4.9866,0.440821071,196,2246,
80.778395,Pastry,168g,150-299g/ml,Bag,Cheese,12,6.3165,0.521112375,153,2661,
62.53859219,Biscuit,376g,200g/ml+,Bag,Strawberry,12.8,11.4043,0.934220235,37,168,
1.436955978,Wafer,160g,150-199g/ml,Box,Milk,12.8,31.7644,2.697726981,66,490,
151.2206496,Pastry,168g,150-299g/ml,Box,Matcha,12.9,5.1456,0.440823987,217,1008,
0,Biscuit,96g,0-99g/ml,Can,Cheese,12.9,0,0,0,960,
0,Biscuit,96g,0-99g/ml,Can,Strawberry,12.9,0,0,0,960,
-34.68936133,Wafer,123g,0-149g/ml,Box,Strawberry,12.9,14.1416,1.280383701,81,476,
20.57693839,Biscuit,310g,300g/ml+,Bag,Original,12.9,17.8954,1.56496218,137,785,
104.7153002,Biscuit,142g,100-299g/ml,Can,Original,13.8,8.5493,0.620608723,55,150,
-58.94718276,Biscuit,144g,100-299g/ml,Bag,Chocolate,13.9,2.6792,0.224857213,229,2477,
-23.86730201,Cookies,240g,200g/ml+,Box,Chocolate,14.5,14.8883,1.284194419,211,2841,
391.614404,Pastry,300g,300g/ml+,Box,Original,15.9,2.5366,0.084647488,25,2841,
-48.224386,Biscuit,135g,0-149g/ml,Bag,Original,15.9,180.1802,4.556962025,2,555,
0,Biscuit,280g,200g/ml+,Bag,Original,16,0,0,0,542,
21.68192137,Pastry,100g,0-149g/ml,Box,Matcha,16.8,18.0682,1.27721194,212,197,
0,Pastry,68g,0-149g/ml,Bag,Original,16.9,0,0,0,675,
34.23717376,Pastry,300g,300g/ml+,Bag,Original,16.9,14.7459,0.959838609,208,1274,
-47.40250131,Pastry,200g,150-299g/ml,Bag,Original,19.9,45.0082,5.644241733,11,917,
-37.81215722,Biscuit,60g,0-99g/ml,Box,Milk,7.2,90.0901,19.78021978,1,2841,
69.80572313,Biscuit,50g,0-99g/ml,Box,Chocolate,7.2,4.7707,0.6457848,226,2841,
26.39373379,Biscuit,150g,100-299g/ml,Bag,Milk,8.9,8.9085,1.036240891,112,2841,
-6.178323075,Cookies,90g,0-149g/ml,Bag,Chocolate,10.5,31.0638,3.372601641,73,730,
-1.357141255,Pastry,240g,150-299g/ml,Bag,Matcha,10.5,23.8462,2.625793601,124,511,
28.90095262,Pastry,168g,150-299g/ml,Box,Chocolate,10.9,3.7995,0.342452331,224,2841,
7.502666249,Biscuit,190g,150-199g/ml,Box,Vanilla,11.5,5.6547,0.535505996,208,622,
39.25626739,Pastry,146g,0-149g/ml,Box,Coconut,11.5,5.7902,0.524395268,172,2246,
-24.28521586,Pastry,168g,150-299g/ml,Box,Chocolate,11.6,38.4265,5.084632368,38,490,
47.41877395,Cookies,170g,150-199g/ml,Box,Chocolate,11.9,6.4456,0.562138247,27,162,
56.59439126,Cookies,144g,0-149g/ml,Box,Chocolate,11.9,5.3525,0.462877408,27,162,
17.46978132,Wafer,192g,150-199g/ml,Bag,Strawberry,11.9,5.5074,0.504463476,224,288,
-207.659325,Biscuit,125g,0-149g/ml,Bag,Cheese,11.9,59.8802,1.666666667,1,2841,
344.5041062,Wafer,290g,200g/ml+,Box,Cheese,12.9,2.2004,0.164541132,82,1504,
44.23714286,Biscuit,368g,200g/ml+,Bag,Cheese,12.8,17.7963,1.405211774,35,168,
-8.766335481,Biscuit,70g,0-99g/ml,Can,Cheese,12.9,36.4078,4.441641762,18,979,
32.03931084,Pastry,360g,300g/ml+,Bag,Milk,12.9,5.421,0.435391778,225,2841,
40.80960463,Biscuit,360g,300g/ml+,Bag,Milk,12.9,12.5303,1.030584925,63,785,
-3.925581008,Pastry,240g,150-299g/ml,Bag,Matcha,13.5,18.6534,1.485390241,157,266,
-43.02672092,Biscuit,300g,200g/ml+,Bag,Strawberry,13.9,55.6283,7.946813484,17,1683,
22.54010438,Cookies,120g,0-149g/ml,Bag,Milk,13.9,10.6974,0.788144546,173,1597,
-7.08315104,Pastry,160g,150-299g/ml,Box,Original,13.9,51.9577,5.098815345,28,2841,
0,Pastry,140g,0-149g/ml,Box,Matcha,13.9,0,0,0,1030,
0,Pastry,336g,300g/ml+,Bag,Milk,14,0,0,0,1500,
-38.39873885,Pastry,388g,300g/ml+,Bag,Original,14.9,168.0672,8.410653494,14,462,
-3.962330025,Biscuit,380g,300g/ml+,Box,Chocolate,14.9,54.0054,4.101681183,18,2841,
32.10777969,Biscuit,380g,300g/ml+,Box,Milk,14.9,7.6705,0.53775331,165,2841,
-10.89733487,Pastry,238g,150-299g/ml,Bag,Original,15.8,25.9259,2.272958545,70,890,
31.1887388,Biscuit,160g,100-299g/ml,Box,Chocolate,15.9,9.4849,0.620644178,179,1416,
19.07795468,Biscuit,349g,200g/ml+,Bag,Chocolate,16.8,6.3519,0.389725195,222,1379,
89.41854985,Cookies,126g,0-149g/ml,Bag,Vanilla,16.9,8.9167,0.545821063,214,1665,
16.12686478,Biscuit,140g,100-299g/ml,Box,Strawberry,19.8,10.8819,0.660491837,218,469,
-17.999944,Cookies,160g,150-199g/ml,Box,Milk,19.8,178.5714,22.5,1,474,
142.601881,Biscuit,150g,100-299g/ml,Box,Original,22,4.1789,0.178211908,163,428,
26.66151635,Biscuit,680g,200g/ml+,Box,Strawberry,23.9,7.1751,0.341825899,219,2646,
6.644118428,Cookies,350g,200g/ml+,Bag,Original,24,42.4123,2.322069096,41,2492,
52.73611797,Pastry,480g,300g/ml+,Bag,Milk,26,10.3137,0.571500045,221,1737,
0,Biscuit,150g,100-299g/ml,Bag,Original,26.9,0,0,0,633,
-80.33959167,Biscuit,436g,200g/ml+,Box,Original,27.9,128.5347,5.858230814,5,444,
-25.03074193,Cookies,500g,200g/ml+,Bag,Original,32.8,13.8458,0.583479517,25,2603,
-186.0408727,Pastry,880g,300g/ml+,Box,Mixed,67.9,36.0011,1.401289905,13,1848,
-25.54820406,Biscuit,126g,100-299g/ml,Box,Strawberry,20.5,7.6596,0.482373277,34,295,
120.2085857,Biscuit,466g,200g/ml+,Bag,Original,21.8,2.5965,0.124010276,229,1379,
-133.199295,Pastry,210g,150-299g/ml,Box,Coconut,22.9,178.5714,2,1,487,
-26.281128,Cookies,400g,200g/ml+,Can,Coconut,26,178.5714,7.692307692,1,790,
14.65756385,Pastry,1200g,300g/ml+,Box,Chocolate,54,73.2419,1.131381953,118,1528,
-60.34000547,Cookies,908g,200g/ml+,Can,Original,99,76.4575,1.318210529,48,2841,
15.60222758,Biscuit,25g,0-99g/ml,Can,Strawberry,2.9,8.9154,2.569608142,137,2841,
0,Wafer,50g,0-149g/ml,Bag,Strawberry,2.9,0,0,0,2841,
24.67287072,Biscuit,25g,0-99g/ml,Can,Chocolate,3,3.5894,0.920142061,61,800,
-5.456634016,Biscuit,100g,0-149g/ml,Bag,Strawberry,3.9,15.5556,4.669087675,7,1361,
100.8789026,Pastry,52g,0-149g/ml,Bag,Original,4.8,1.9378,0.346103054,215,2841,
51.70932353,Biscuit,41g,0-99g/ml,Bag,Strawberry,4.9,3.7876,0.724717848,107,1126,
40.80402083,Biscuit,55g,0-99g/ml,Box,Chocolate,4.9,2.944,0.487364759,227,2841,
12.51744759,Biscuit,55g,0-99g/ml,Can,Chocolate,5.5,3.6924,0.546387117,231,2841,
32.27879172,Biscuit,80g,0-99g/ml,Bag,Cheese,5.5,7.1148,1.276277312,157,2841,
24.59647436,Biscuit,55g,0-99g/ml,Can,Original,5.5,2.893,0.417207636,228,2841,
35.2813256,Wafer,42g,0-149g/ml,Bag,Chocolate,5.5,4.4313,0.781016963,50,288,
22.03138058,Pastry,60g,0-149g/ml,Box,Chocolate,5.6,9.0899,1.628279607,86,2312,
-3.952792286,Wafer,64g,0-149g/ml,Box,Chocolate,6.5,13.5961,2.256519194,205,2841,
3.934001,Pastry,160g,150-299g/ml,Bag,Milk,6.9,55.3825,7.949213359,16,2841,
8.481457477,Pastry,100g,0-149g/ml,Box,Milk,6.9,20.8611,3.116625512,105,1394,
70.67354285,Biscuit,50g,0-99g/ml,Bag,Vanilla,7.2,4.0852,0.572538372,227,2841,
-23.78741547,Biscuit,48g,0-99g/ml,Bag,Vanilla,7.8,143.8849,13.10043668,4,1149,
212.2987585,Biscuit,48g,0-99g/ml,Box,Matcha,7.8,1.635,0.181153205,227,2841,
55.71172568,Biscuit,210g,100-299g/ml,Box,Original,10,4.3867,0.429281868,211,2841,
39.08348414,Wafer,100g,0-149g/ml,Bag,Chocolate,11.9,5.9834,0.52738021,228,288,
188.0731726,Biscuit,233g,200g/ml+,Bag,Original,12.5,1.9606,0.157018284,231,1379,
87.12049349,Biscuit,376g,200g/ml+,Bag,Cheese,12.8,8.4337,0.680313974,70,168,
2.068032455,Pastry,128g,0-149g/ml,Bag,Original,13.8,43.036,3.702803284,11,449,
-2.849639395,Biscuit,95g,0-149g/ml,Box,Cheese,13.8,18.5169,2.044653543,43,995,
-4.476168538,Biscuit,150g,100-299g/ml,Box,Original,13.8,61.0736,6.573509908,19,518,
194.8124414,Pastry,250g,150-299g/ml,Bag,Original,13.8,3.6387,0.219483791,32,1994,
-19.060536,Pastry,336g,300g/ml+,Bag,Original,14,178.5714,15,1,1500,
88.26633826,Pastry,400g,300g/ml+,Bag,Original,16.9,6.6656,0.457796924,228,1274,
-24.55978533,Biscuit,520g,300g/ml+,Bag,Milk,16.9,179.6407,13.5,3,937,
6.102686469,Biscuit,443g,200g/ml+,Bag,Strawberry,16.9,5.3915,0.343294636,223,2316,
-44.48693764,Biscuit,300g,200g/ml+,Bag,Milk,18.9,36.0007,3.202195089,22,1976,
-12.20825156,Biscuit,210g,100-299g/ml,Can,Original,19.5,178.5714,46.15384615,1,2757,
15.43962708,Biscuit,140g,100-299g/ml,Box,Chocolate,19.8,10.305,0.625639828,214,469,
-53.4074246,Biscuit,380g,200g/ml+,Box,Chocolate,21.8,14.1418,0.915727572,206,622,
-15.61417636,Biscuit,380g,200g/ml+,Box,Strawberry,21.8,9.4783,0.526786701,216,622,
78.83993735,Pastry,432g,300g/ml+,Box,Matcha,21.9,4.5682,0.227243409,226,1630,
-163.817536,Wafer,272g,200g/ml+,Box,Chocolate,21.9,18.2277,1.40438229,96,2841,
108.7556568,Wafer,350g,200g/ml+,Can,Cheese,22.9,5.8719,0.255710097,191,2064,
-54.93309933,Wafer,250g,200g/ml+,Can,Chocolate,24.9,179.6407,9.608540925,3,486,
1.517574866,Cookies,120g,0-149g/ml,Box,Original,26.9,25.413,1.09434966,24,1416,
112.4040873,Pastry,192g,150-299g/ml,Box,Original,29.9,12.0895,0.394798758,36,434,
-6.442982867,Pastry,300g,300g/ml+,Box,Coconut,33.8,62.0694,2.942746176,100,444,
-158.850808,Cookies,380g,200g/ml+,Box,Original,35.9,53.5019,3.232441963,11,1170,
-31.79805038,Cookies,100g,0-149g/ml,Box,Milk,46.5,89.9743,3.594659363,7,920,
9.2325,Cookies,408g,200g/ml+,Box,Original,48.5,178.5714,3.711340206,1,794,
-29.874173,Cookies,600g,200g/ml+,Box,Mixed,58,178.5714,36,1,797,
24.17331949,Biscuit,120g,0-149g/ml,Bag,Chocolate,4.5,5.868,1.19194274,166,2841,
